News,target,image-path
"""George Soros has endorsed (Ron) DeSantis for 2024.""",FALSE,Pg 2__4_21a416e71c0b4fae4df9f8b55a67fbce.jpg
Big-box stores are refunding and crediting customers for fraud and discrimination.,FALSE,Pg 2__6_0c9c20da5c5b4b73a1d6f7aa77997063.jpeg
Brown v. Board of Education “was never about sending Black children to white schools. It was about parents being able to decide where to send their children to school.”,FALSE,Pg 2__15_6f163d2ac69ac794bed39a2050f147c2.jpg
"""Biden admin negotiates deal to give WHO authority over US pandemic policies.”",FALSE,Pg 2__16_5348a5586aea85f80bded5dbfb81d2aa.jpg
“One man was actually killed” during 2020 protests of police brutality in Raleigh,FALSE,Pg 2__17_2de0ee87c4eeb250ab5c1b101c3a128d.jpg
“Mickey Mouse to be replaced as official Disney mascot.”,FALSE,Pg 2__19_45505963b0147d33731f4682b6d6dc38.jpg
"The “average tax” for billionaires is “about 3%,” which is “a lower tax than a schoolteacher or a firefighter.""",FALSE,Pg 2__21_36af0196480727e04a9f268e38dbcd5a.jpg
“Seven ecological disasters in less than 2 weeks. … We are under attack.”,FALSE,Pg 2__22_1d56bcb38b77aed5bfeca330cbe399d3.jpg
"At the World Economic Forum, Moderna CEO Stéphane Bancel admitted that his company produced 100,000 doses of COVID-19 vaccines in 2019, before the pandemic started.",FALSE,Pg 2__27_0d6974004e34ad9a74aaef42793ba2de.jpg
"""Mother Teresa sold babies.”",FALSE,Pg 2__29_5e65f1250aacb0fff43f43aa692112e0.jpeg
"""It's President Biden who is proposing to cut Medicare Advantage.""",FALSE,Pg 2__30_3a6b7f4e31b9f5ba208c2cf78c1897aa.jpg
“Michigan State University suspect is 22-year-old ‘Raymone Jordan.’”,FALSE,Pg 3__1_223251d306990aa66e8cf48793115c70.jpeg
"“Humans are not causing climate change.” Magnetic pole shifting “is causing havoc worldwide in weather, climate, earthquakes, tsunamis, etc.”",FALSE,Pg 3__2_609c26fddf9d163552530f58dc98ff00.jpg
"The earthquake in Turkey is a ""scripted"" use of geo engineering weather modification HAARP",FALSE,Pg 3__3_8357a21110b64c4c7921d15d702cb2cf.jpg
Gen. Mark Milley “never served in combat.”,FALSE,Pg 3__5_d17be4aa655c490fe5811252d958449d.jpeg
President Joe Biden “cheated on his taxes and got away with it.”,FALSE,Pg 3__10_f26a59ae51f1447b414c5a7a568cd85e.jpg
"""Joe Biden's wide open southern border"" is to blame for fentanyl deaths in the U.S.",FALSE,Pg 3__12_827b37c8a7cf90fa581c2dcc5d564db4.jpg
An ingredient in some of Chick-fil-A’s dipping sauces can cause serious health problems.,FALSE,Pg 3__14_b764241c10f5b662fc27e7ec27358c0f.jpg
"“In the past two years, democracies have become stronger, not weaker. Autocracies have grown weaker, not stronger.”",FALSE,Pg 3__15_84e487e2aacaab140b635f913b12c9aa.jpg
Joe Biden closed schools during the COVID-19 pandemic.,FALSE,Pg 3__17_a3d3d720c91af7c86f33e9a085d5ebec.jpg
"""Unusual cancers” are “exploding right into stage 4"" and those cancer cells have “the spike protein.""",FALSE,Pg 3__18_ac62ad4cc23bbac04ac21671e7e60e6c.jpg
"Backyard chicken flocks have stopped laying eggs, and the feed is responsible.",FALSE,Pg 3__20_cb846d8e4f845b3385231f191b2cba0a.jpg
Diamond and Silk pundit died from COVID-19,FALSE,Pg 3__23_c393bcc7dae6233a2ee9b87e07ed88c0.jpg
Illinois “received $5.1 billion at an elementary school there that used it for equity and diversity.”,FALSE,Pg 3__25_e5d7a867d8b1d0160fe9126a7230a016.jpg
"President Joe Biden said, “The idea that we’re going to send in tanks to Ukraine, that’s called World War III.”",FALSE,Pg 3__26_fb2ebd98542c7fe0597a10465744d5bb.jpg
"U.S. Rep. Ilhan Omar is ""facing 40 years in prison and deportation after seven new crimes uncovered.""",FALSE,Pg 3__29_edd8939de1de29645e102af9ee22563e.jpeg
The officers who beat Tyre Nichols targeted him because he was “allegedly dating” one of their wives.,FALSE,Pg 3__30_0fbefe724ab705672c4bd710b9a32124.jpg
"“The largest contributor to the debt ceiling, or to our deficit, has been the Trump tax cuts.”",FALSE,Pg 4__1_a330d5d84586ad596c94e220983076df.jpg
"""Doctors say colon cancer is on the rise due to toxins absorbed while cooking food (in) the microwave.”",FALSE,Pg 4__2_d92e643ac5d68de8b3a6155310630098.jpg
"Same-day voter registration ""does not allow election officials to verify the validity and accuracy of voter information.""",FALSE,Pg 4__10_8f28ed976ddb3e09ecde2dc1ad9b1b5a.jpg
“The average American has anywhere from 5 to 15 pounds” of stool stuck in their gut.,FALSE,Pg 4__19_d3ea51327356a997d0be96ff211ce927.jpeg
“The World Health Organization has been working since 1974 on vaccines to create permanent sterility.”,FALSE,Pg 4__20_0342212e14976684f7af434d568f6658.jpg
The Transportation Security Administration spent “a couple hundred million dollars” on gender-neutral screening technology.,FALSE,Pg 4__21_72cac43e9904f415829cab2b73e25f31.jpg
“Aretha Franklin’s 1968 song ‘A Natural Woman’ deemed ‘offensive’ by trans community.”,FALSE,Pg 4__23_2ecab935615a1625cdc6f97c6a950338.jpeg
"In California, there were “10 million mail ballots unaccounted for” in the November midterm election.",FALSE,Pg 4__25_c51619b599176ec9276aa2393036971b.jpg
"People not vaccinated against COVID-19 “came out the best.""",FALSE,Pg 4__26_e1f84dd6ebdc5c89bc8685dc64d64aa0.jpg
“Chickens aren’t laying eggs because RNA is being added to commercial chicken feed.”,FALSE,Pg 4__29_a1b59440e621bc74cbc52810461ae1e2.jpeg
The U.S. chicken and egg shortage is linked to Bill Gates.,FALSE,Pg 5__2_cca636359cd3cba46b01ca3067c972cd.jpg
“Let’s be clear: ‘drag shows’ are strip shows.”,FALSE,Pg 5__3_634b0ac0ecd69b7f59f6798d97e8e0ba.jpg
“MRNA vaccines are being injected into our food supply.”,FALSE,Pg 5__10_13a8ca8236cbee4d5cb92746c7047d35.jpg
"""Almost every study now has said with these new boosters, you're more likely to get infected with the bivalent booster.""",FALSE,Pg 5__12_7c2fab6273dcea30468dc8a2761ae647.jpg
A video shows the deadly Jan. 15 plane crash in Nepal.,FALSE,Pg 5__15_f955623c54bd6f85ac74f5242ae5aedd.jpeg
Greta Thunberg staged an arrest in Germany.,FALSE,Pg 5__18_56ee90e3481a45d63d10ec0e47be28b3.jpeg
"Joe Biden as vice president didn't ""have the right to declassify"" documents.",FALSE,Pg 5__19_6072aacbbb11791f7112cf19c42d1d4a.jpeg
"The World Economic Forum hired “unvaccinated pilots” to fly people into Davos, Switzerland, for its annual meeting for safety reasons.",FALSE,Pg 5__22_074f2aa370dd508c5997f09bdf1f9c58.jpg
"“Americans who worked through the pandemic are being paid up to $26,000 by qualifying for the Employee Retention Credit.”",FALSE,Pg 5__23_70b1c2bf9289d66c39b6d7cad0495d39.jpg
“Every single Republican blocked Ketanji Brown Jackson’s SCOTUS appointment.”,FALSE,Pg 5__24_cc9e31aa64e2e42c3a5fa70e405c1b43.jpg
“The White House is now attempting to ban all gas ovens and burners.”,FALSE,Pg 5__26_6fc382ebbf56dc49873c7558218d55cf.jpg
Cellphone data used to arrest the Idaho quadruple-murder suspect proves that criticism of the “2000 Mules” movie’s use of cell data is unfounded.,FALSE,Pg 5__28_3d1d44236d2d5335dd2220c7afc9462e.jpg
The election in Brazil “was very clearly a rigged election.”,FALSE,Pg 5__29_5b8fb0a0864ce8d9f01f5c56acd5358c.jpg
"""Parents that go to school board meetings"" and question the curriculum are being ""flagged by the Department of Justice and the FBI for attending a meeting.""",FALSE,Pg 6__1_f81ab197aa66da38fe5f527a17c3f52c.jpg
"COVID-19 vaccines ""provide zero benefit relative to risk for the young and healthy.""",FALSE,Pg 6__2_9c3cc9ff714cd6696891989592272a10.jpg
"""Pope Benedict XVI and the Vatican requested that President Biden not attend Benedict’s funeral.""",FALSE,Pg 6__6_744d7ea7a3c54bef68c90a93b631dde0.jpg
"There have been “1,598 athlete cardiac arrests since Jan 2021. 69% fatal.""",FALSE,Pg 6__7_e6f06d4e5a98a85a39f9ef6dc4acffd3.jpeg
Buffalo Bills player Damar Hamlin’s collapse was caused by the COVID-19 vaccine.,FALSE,Pg 6__8_5f4e13153cd81e9672ba647ed002e893.jpg
"After Joe Biden became vice president, at the behest of his father, he gave his uncle, Frank H. Biden, a Purple Heart for serving in the U.S. military during World War II.",FALSE,Pg 6__9_65f36c2f1e8156a05be68acaaacccece.jpg
"Says he has been to “Afghanistan, Iraq and those areas” twice as president.",FALSE,Pg 6__10_42e232b1adbb865ee2d2cae768d5ff4d.jpg
A video shows Nancy Pelosi unveiling a portrait of former U.S. Energy Department employee.,FALSE,Pg 6__21_210b62015a716651e33e4f2b71cc9368.jpeg
The COVID-19 vaccines were linked to the deaths of 80 Canadian doctors.,FALSE,Pg 6__24_84ab5edf45d1052f5b2abc75e4037304.jpg
"Video shows Sen. John Kennedy telling Secretary of Homeland Security Alejandro Mayorkas, “You will be impeached.”",FALSE,Pg 6__27_5c42b2ef6feac24007152b69c8648e20.jpg
Kari Lake’s lawsuit “exposes Arizona used no signature verification.”,FALSE,Pg 6__28_deba185f4b98814f542303b1b34942ad.jpg
Grant Wahl died because of the COVID-19 vaccine.,FALSE,Pg 7__1_9b54e5ab6d1159e1d89769fd4c5d3ca4.jpeg
The Federal Reserve “has suspended the availability of new currency.”,FALSE,Pg 7__2_735c6dd000e5b1b69ac5d1d72c7b70bb.jpg
"Large machinery is “required to move 500,000 pounds of earth in order to get the minerals needed for one single Tesla car battery.”",FALSE,Pg 7__3_bd03d6d86a5d555fb9e66fe2918ba4ab.jpg
"On the day of the Dec. 6 runoff, “armed groups of Black Panthers” were “reportedly patrolling certain voting locations” in Georgia.",FALSE,Pg 7__17_8ebe37a1a4804c87a25ac28266bdf885.jpg
The border wall and the ‘Remain in Mexico’ policy “reduced illegal immigration by 90%.”,FALSE,Pg 7__23_227491b2b8ecd12b6cf301573105f86b.jpg
“Only about 20%” of people who apply for asylum qualify for it.,FALSE,Pg 7__24_0ed3796684911d91b175f35f73bbd5ee.jpg
Arizona midterm election was unlawful because the lab used to certify voting machines was not accredited.,FALSE,Pg 7__27_828fb36d636b319552eadae0cc500a84.jpg
"""I think President Trump came out four times and condemned” Nick Fuentes.",FALSE,Pg 7__28_ffaa8c996d9d1deb8e2067f7f57cc390.jpg
"“Maricopa County announced that on Election Day over 540,000 voters visited one of the 223” vote centers, but final official results data claimed that “only 248,070 people voted.”",FALSE,Pg 8__3_08652df9d7eb1d89c10088ad553614ea.jpg
The Biden administration is deporting Cubans “because Cubans by and large are conservatives.”,FALSE,Pg 8__8_ead2019a926c5edbf3edf7a1f9b6f2ee.jpg
Increases in respiratory syncytial virus in children are linked to the COVID-19 vaccine.,FALSE,Pg 8__15_fcd883c434f26be701f80466e532b716.jpeg
Video is evidence of a recent increase in robberies in Spain by “migrants from the Middle East and Africa.”,FALSE,Pg 8__18_0f12b314374eb7b5c22401451bf372cd.jpg
"President Joe Biden said, “I know you all know there’s no climate problem,” proving that people have been “lying for decades” about climate change.",FALSE,Pg 8__19_a3214a95597cf4e9b5e4ccc0a03e46c9.jpg
“Republicans want to raise the voting to age 28.”,FALSE,Pg 8__20_800318063a410740b04116c66d3fb793.jpg
It’s proof of “voter fraud” that it takes some states days to count 2 million votes while Florida results were available on election night.,FALSE,Pg 8__22_ebd4ef5e973e1495d526ef588927a98c.jpg
"“Iran sentences 15,000 protesters to death.”",FALSE,Pg 8__27_4c6ad3e6ab1d23c6d4e0aefad4f0771a.jpg
“Many elections in Bexar are being called with 0% of precincts reporting! I smell MAJOR FRAUD!”,FALSE,Pg 9__2_6ddc65f41834ae62c7b9a083837ef607.jpg
A video shows a whistleblower creating fraudulent military ballots during the 2020 presidential election.,FALSE,Pg 9__9_0a8d24860332a39628d79685f46f1c31.jpg
Video shows a faulty New York voting machine invalidated a GOP vote in governor’s race.,FALSE,Pg 9__11_39552bde004f0394ddea4177f59de3b8.jpeg
"It’s a sign of fraud that “in 244 counties across the United States, there are more registered voters than there are people legally eligible to vote.”",FALSE,Pg 9__12_8ad996c99d7b0ed05ccea55e779da027.jpg
"“Electronic voting machines didn't allow people to vote” in Maricopa County, Arizona.",FALSE,Pg 9__13_a726b30d441f9b5d52caf23421f4a85d.jpg
John Fetterman “is suing for the right to cheat and steal the election.”,FALSE,Pg 9__14_f028cc4206b25b0237fdcacbfc9e1270.jpg
"In Detroit, “people are showing up to vote only to be told, ‘sorry, you have already voted.’”",FALSE,Pg 9__15_269c9fad253f24bbd00bd94e84c89574.jpg
Image shows that the New Mexico secretary of state counted more than 17 million registered voters in a state with a population of about 2 million.,FALSE,Pg 9__16_b3fade57ac7af6c6f4d08537bfa5d4d1.jpg
"“There is no chain of custody” for ballots placed in Box No. 3 at Maricopa, Arizona, polling sites.",FALSE,Pg 9__18_1e9c6db9d39385f5b06211cfb8c183fb.jpg
Video suggests GOP voters denied access in general election.,FALSE,Pg 9__19_79739132f5d597c72a2fb5bee35ce1ad.jpg
A wax figure of Ye was removed from Madame Tussauds museum but a figure of Adolf Hitler remained.,FALSE,Pg 9__20_be9c0f3f960ba57bad5e55016f546b20.jpg
Delayed election results are proof of fraud.,FALSE,Pg 9__21_bfa1b5073055bfae2f440fc379041726.jpg
Suggests that “since mostly Democrats vote early” then that represents “made-up ballots or dead people voting.”,FALSE,Pg 9__22_c60c0c79ff391b8dc54e9a411340ba98.jpg
"""Joe Biden and the New Left even promote surgery on teens and young adults, removing breasts and genitals.""",FALSE,Pg 9__24_0d7a62516ad194d3845b1870ee75546e.jpg
"“Kamala Harris said disaster aid should go to non-white citizens first.""",FALSE,Pg 9__27_21d7e151339d4c8b06e7f27721165e8e.jpg
Former President Jimmy Carter said “don’t ever use” mail in ballots because “they can be so easily corrupted.”,FALSE,Pg 9__30_67abd1aafc56425457739968e3be7be3.jpg
The FBI took over the investigation into the attack on Paul Pelosi because San Francisco authorities weren’t sticking to Nancy Pelosi’s talking points.,FALSE,Pg 10__1_fa9786c58b4b54a18ac3f64076ffb609.jpeg
"Brazil President Jair Bolsonaro will hold a press conference to “announce military audit of controversial election, may arrest criminal judges.”",FALSE,Pg 10__2_06e32bfe34b7c594ae20b1d46e83f442.jpeg
“Two thirds of eligible voters don’t vote.”,FALSE,Pg 10__3_98cd4644b49fbcd7cda23fd5c08a8d67.jpg
"Tony Evers “wants to let out between 9,000 and 10,000 more” Wisconsin prisoners",FALSE,Pg 10__4_af3849436bdcc436de19d5004370bc5f.jpg
“Biden and Democrats have dismantled border security.”,FALSE,Pg 10__5_7d4d2f79c3b17cef5577a8a3cf891210.jpg
“Freedom of Information Act requests show a dozen phone calls between the cell phone of Ray Epps and the office of Speaker Pelosi in the week before #January6th”,FALSE,Pg 10__8_748049235ef341b5fa3a89f34f468d38.jpg
"""Over 240,000 'unverified' ballots have already been sent out in Pennsylvania, a total mess. The Democrats are playing games again.”",FALSE,Pg 10__9_2f490fb0d4769e4378d05ebe74c1d2ab.jpg
“J.D. Vance said nothing about” the attack on Paul Pelosi.,FALSE,Pg 10__11_e17dd129447ecb8fb74342054f2a8c55.jpg
Julie Powell died from the COVID-19 vaccine.,FALSE,Pg 10__14_b32e3fce67603a0a2b76338d9f44a9eb.jpeg
"If Proposal 3 passes, it would allow children to undergo ""gender-change therapy without parental consent""",FALSE,Pg 10__17_400ef5273c82f3d9d8ea904a77349a41.jpg
"California state Sen. Scott Wiener “doesn’t just want to sterilize California kids, but sterilization of kids everywhere!”",FALSE,Pg 10__21_f87800c7861c785b212098a3fd41a7d6.jpg
"Video shows Marjorie Taylor Greene planted pipe bombs at Republican and Democratic party headquarters on Jan. 5, 2021.",FALSE,Pg 10__24_bab13dd03e06d56638b731b7caed0fc2.jpg
“All Democrats in the Senate and House voted to cut $280 billion out of Medicare just two months ago.”,FALSE,Pg 10__26_ee53d27409859d968b6974bf4d76ea88.jpeg
"Arizona Secretary of State Katie Hobbs “sent 6,000 wrong ballots to Republicans.”",FALSE,Pg 10__28_8fd68a9b7c1c50b85803c7db294720c5.jpg
The price of gas is “down from over $5 when I took office.”,FALSE,Pg 11__1_a5dd1d2858cfddae6c4faf2957bd9579.jpeg
"“It’s not that there is no evidence the election was stolen, but that no court had the guts to HEAR the evidence. They dismissed the cases, NOT the evidence.”",FALSE,Pg 11__2_0baa9d36840c5260eaf9c309f1523778.jpg
"The documentary “2,000 Mules proves” Democrats “cheated on the 2020 elections.”",FALSE,Pg 11__4_e934c6032edef2e0e0811bc0bf33d96d.jpg
"Connecticut ballot initiative on early voting would ""remove the requirement of a certified seal from certain ballots.""",FALSE,Pg 11__5_b88565807b75b50780cd4b1f6c0e9f59.jpg
The COVID-19 vaccine caused Katy Perry’s eye to close during a recent show.,FALSE,Pg 11__11_b4902c28f0db2c61cdd69fe5b59b25d7.jpeg
Ballots are “mailed unconstitutionally” to every voter in Colorado.,FALSE,Pg 11__13_3f2c9c99c8510fdc05720c40c79bae5c.jpg
Cheri Beasley was “encouraging (riots) all across our state and all across our country in 2020.”,FALSE,Pg 11__16_ba3d55d23bf75b80b737840b5a2b0b86.jpg
Student loan forgiveness is “passed. I got it passed by a vote or two. And it’s in effect.”,FALSE,Pg 11__17_c2c34a584748aff86862f19c72b9a989.jpg
“Wikileaks releases moon landing cut scenes filmed in the Nevada desert.”,FALSE,Pg 11__19_2ef9e01a297c56f7559e6c95940a503d.jpeg
"“Nancy Pelosi (purchased) 10,000 shares of Amgen, manufacturer of Nplate, a drug used to treat radiation sickness.”",FALSE,Pg 11__20_6a58db0061dc193f413b5905f5a55a0a.jpg
"""When electric cars get in accidents, they explode, they catch fire very very badly because of the lithium batteries.”",FALSE,Pg 11__21_bd03d6d86a5d555fb9e66fe2918ba4ab.jpg
"For climate change environmentalists, “not a single one of their predictions ever come true.”",FALSE,Pg 11__22_514a15e567e01f2dd4bd7eab14761e29.jpg
Suggests that an immigrant charged with sexually assaulting a child entered the U.S. illegally during the Biden administration.,FALSE,Pg 11__26_622db8d7a8f8181c20facbcd7221574b.jpg
Immigrants illegally in the country are treated “better than military veterans.”,FALSE,Pg 11__27_8219fcdbbf8b94b766a506ee7519555e.jpg
“Millions” of people from International Monetary Fund member countries are at risk of being placed in “COVID camps.”,FALSE,Pg 11__30_ac2951baeddbd4cb4dfdb430f8418761.jpg
"Suggests fentanyl, not Derek Chauvin, killed George Floyd",FALSE,Pg 12__8_be9c0f3f960ba57bad5e55016f546b20.jpg
"Video footage showing Chuck Schumer and Nancy Pelosi hiding on Jan. 6, 2021, shows the U.S. Capitol attack “was a setup.”",FALSE,Pg 12__11_5ccacf4e2ee06b97cf6795c9cb01e17a.jpg
"""Ministros de Defensa de OTAN deciden invadir a RUSIA para prevenir ataque de Putin”.",FALSE,Pg 12__15_0e9ae4de3a506608b906c7b4e59d04fb.jpg
The Electronic Registration Information Center is “a system that’s funded by George Soros.”,FALSE,Pg 12__16_f3a985db649b06812c9eb3ec88cb4f77.jpg
"If a sealed bag of raw poultry appears “puffy,” it means the protein is not safe to consume.",FALSE,Pg 12__17_26fedd3e04a21ebf8558429e5245a386.jpeg
Says Adam Laxalt said it is “good news” that “a lot of those Hispanic small businesses never reopened” after the pandemic.,FALSE,Pg 12__24_1f2aeab4395969dc15b0eb2e2f14c5c2.jpg
"Wiley Nickel supports “abortion all the way up until the point of birth, even post-birth.”",FALSE,Pg 12__30_1e888419f559113df815087063099ceb.jpg
The Jan. 6 hearing “was abruptly canceled after it was revealed that news networks would not be showing it.”,FALSE,Pg 13__4_6738b1affcd0237b1cbdc9b0694efb16.jpg
"Kamala Harris said about Hurricane Ian that “if you have a different skin color, you're going to get relief faster.”",FALSE,Pg 13__16_21d7e151339d4c8b06e7f27721165e8e.jpg
President Joe Biden admitted having an inappropriate relationship with a minor.,FALSE,Pg 13__20_d1deaec65b21b01a928255b61dd71ff0.jpeg
“The Russian army has surrendered in Donetsk!”,FALSE,Pg 13__21_253606116a04616ab545236768f1ed3b.jpg
"""Ron Johnson has voted against funding for law enforcement and recently opposed a plan to recruit and train new officers """,FALSE,Pg 13__23_7d8723c144b0c6014dfafd764ef773c7.jpg
"Sen. Raphael Warnock ""voted with Biden to slash Medicare spending.”",FALSE,Pg 13__26_6311f80901b059ddd4b614258a41d37f.jpg
Footage NASA shared from the DART spacecraft just before it crashed itself into an asteroid isn’t real.,FALSE,Pg 13__30_398b76ed98353ded2ac819a3dcf69dc1.jpg
“President Xi of China under house arrest” amid “coup by the PLA.”,FALSE,Pg 14__1_5eef2b936f4e1f30472cfb53a86836de.jpg
“Breaking: Judiciary Democrats just voted to support non-citizens voting in our elections.”,FALSE,Pg 14__7_e66e29bc0a1e220a00dad29ab2c1a4d6.jpg
“Jeffrey Epstein’s lawyer became a federal judge” and “was the person to sign off on the Mar-a-Lago search warrant.”,FALSE,Pg 14__9_28a06307b6ae15e95b45c01a0964210c.jpeg
"Ballot harvesting “altered the outcome” of a city council election in Yuma County, Arizona.",FALSE,Pg 14__10_f3a985db649b06812c9eb3ec88cb4f77.jpg
Meghan Markle wasn’t allowed to attend Queen Elizabeth II’s funeral.,FALSE,Pg 14__16_79281af35ce3000917a6a03601186175.jpeg
Nostradamus “accurately predicted Queen Elizabeth II’s passing.”,FALSE,Pg 14__19_93bb732803a68c061338bf032120e35a.jpg
Nancy Pelosi “almost burst out into laughter” at the Tsitsernakaberd Armenian Genocide Memorial Complex in Yerevan.,FALSE,Pg 14__20_089e42ec247020536f3b6741ddb111ff.jpeg
“Supreme Court just voted to ban condoms.”,FALSE,Pg 14__22_891bf05eb0658da9f2a206c8a07d263e.jpeg
"To qualify for Ohio SNAP benefits, “now a family of 3 can make up to $3,660 a month and it used to be $2,700, so it’s gone up almost $1,000 a month.”",FALSE,Pg 14__27_3b11aef15188e02627db9332cbb20ab3.jpeg
A CNN report on 9/11 proved that a plane never hit the Pentagon.,FALSE,Pg 14__28_d15b6ff697dee8f057a5b8b322949a1c.jpg
"Under new Illinois law, these crimes are “nondetainable"": “Burglary, robbery, arson, kidnapping, DUI offenses, even DUI involving a fatality, most drug offenses, and even 2nd degree murder.”",FALSE,Pg 15__1_9871451059bd002a12ca47d712ac17b4.jpg
"Following protests in Grand Rapids, Michigan, in 2020, Democratic U.S. House candidate Hillary Scholten ""dismissed the destruction and praised the rioters.""",FALSE,Pg 15__6_148f9cbd8958fd93145ea3f43405fcf6.jfif
Joe Biden appointed a 'satanist' to the White House.,FALSE,Pg 15__7_67a20502d60ddbfb1d8a94a0aaba0f05.jpg
"Says of 9/11, “Two planes can’t cause three buildings to collapse in free-fall time.”",FALSE,Pg 15__9_f66fc36704849a1e14500a0a05495add.jpg
"The federal government is providing free solar panel installation and $8,500 incentive checks to eligible homeowners.",FALSE,Pg 15__14_3f7c61342c903e7626564aad597b6bcf.JPG
Says President Joe Biden “recently said that 48.8% of Wisconsin voters are threats to democracy.”,FALSE,Pg 15__16_8000e231f99de8ff5fffa182e3969031.jpg
Russia “has not lost anything” in its invasion of Ukraine.,FALSE,Pg 15__18_0607bf4d4630112ffca9045c165aff3c.jpeg
"“Here in Nevada, the DMV registers everybody (to vote) and so that means illegals. They don’t check.”",FALSE,Pg 15__21_292c6a0a8ca02d5b750b5266343f4702.jpg
Executive Order 14067 will allow the federal government to “turn on and turn off your money.”,FALSE,Pg 15__22_ac9d1bdc8a1a9265f8257681917e664a.jpg
Queen Elizabeth died because of the COVID-19 vaccine.,FALSE,Pg 15__23_7bba56df66fd6cd1f98a275c684459c8.jpeg
Bank of America “announced a new mortgage home loan program for first-time homebuyers. But only blacks and Hispanics will be eligible.”,FALSE,Pg 15__27_1b309466daeb5766b6acc039a1b675c9.jpg
"Says Mandela Barnes ""supports stripping health care away from millions.""",FALSE,Pg 15__28_2aae23b6f89d41bb2387c155fb4e9935.jpg
"""Water-fueled car can travel from LA to NY on 22 gallons.""",FALSE,Pg 15__29_19c9db696f1cbb56ef7c3928041a6843.jpg
"The public health order Title 42 is ""the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”",FALSE,Pg 15__30_1fa5c3a3054e184369958263ddc175c2.jpg
"""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""",FALSE,Pg 16__1_28a06307b6ae15e95b45c01a0964210c.jpeg
El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,FALSE,Pg 16__4_f472663bd46e8198fa78c51158f6bb73.jpg
The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,FALSE,Pg 16__5_4854892e5171a1e8e1d0018dac014b3d.jpeg
An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,FALSE,Pg 16__6_7e36f1a843f84a9d2bbc8ca8165c926f.jpg
Student debt relief is taxable by the Internal Revenue Service.,FALSE,Pg 16__8_4747714e841fb33ff4bf4088b1538d52.jpg
"Instagram’s ""precise location"" feature can be used by criminals to target victims.",FALSE,Pg 16__9_461be84bed1a2c1db429c6557d4aa06a.jpg
Moderna’s lawsuits against Pfizer-BioNTech shows COVID-19 vaccines were in the works before the pandemic started.,FALSE,Pg 16__10_e29277748af92f002bebe026fecdfdde.jpg
"Screenshots show that conservative political commentator Ben Shapiro received more than $20,000 in Paycheck Protection Program loan forgiveness.",FALSE,Pg 16__12_1e0619d4a0a9ea5947e04bf75ba35203.jpg
"The COVID-19 pandemic was planned, and a 2019 simulation called Event 201 was a rehearsal for it.",FALSE,Pg 16__15_68436dd0848a1855081ae582e9f6ecf4.jpg
"Charlie Crist ""supported Biden's agenda to defund the police.""",FALSE,Pg 16__16_4c1d3b4e56b8ad09c50df3d46195afb8.jpg
